Sr No.,Title,QTY,Variant Price
#155,Dalan d'Olive Conditioner 250ml (Pack of 6 - Color Protection),1.00,54
#156,Dalan d'Olive Conditioner 250ml (Pack of 6 - Volumizing),1.00,54
#157,Dalan d'Olive Conditioner 250ml (Pack of 6 - Repairing),1.00,54
#158,Dalan Shower Gel 400ml (Pack of 6 - Magnolia),1.00,42
#159,Dalan Shower Gel 400ml (Pack of 6 - Olive Oil),1.00,42
#160,Dalan Shower Gel 400ml (Pack of 6 - Peach Blossom),1.00,42
#161,Dalan Shampoo 400ml (Pack of 6 - Color Protection),1.00,60
#162,Dalan Shampoo 400ml (Pack of 6 - Volumizing),1.00,60
#163,Dalan Shampoo 400ml (Pack of 6 - Repairing),1.00,60
#164,Dalan Hand & Body Cream - Pack of 6,1.00,18
#165,Dalan Olive Massage & Anti Cellulite Soap (Pack of 12),1.00,36
#166,Dalan d'Olive Soap (Pack of 12),1.00,26.4
#167,Dalan Derma-Cream Soap (Pack of 12),1.00,20.4
#168,Covex Antibacterial Soap 115g (36pcs) - Active Protection,1.00,54
#169,Covex Antibacterial Soap 115g (36pcs) - Cool Protection,1.00,54
#170,Covex Antibacterial Soap 115g (36pcs) - Fresh Protection,1.00,54
#171,Dalan Roxy Soap 6 Pack (72 Pc) - Green Apple,1.00,44.4
#172,Dalan Roxy Soap 6 Pack (72 Pc) - Jasmine,1.00,44.4
#173,Dalan Roxy Soap 6 Pack (72 Pc) - Lavender,1.00,44.4
#174,Dalan Roxy Soap 6 Pack (72 Pc) - Lemon,1.00,44.4
#175,Dalan Roxy Soap 6 Pack (72 Pc) - Rose,1.00,44.4
#176,Dalan Roxy Soap 5 Pack (60 Pc) - Green Apple,1.00,37.2
#177,Dalan Roxy Soap 5 Pack (60 Pc) - Jasmine,1.00,37.2
#178,Dalan Roxy Soap 5 Pack (60 Pc) - Rose,1.00,37.2
#179,Dalan Roxy Soap 5 Pack (60 Pc) - Violet,1.00,37.2
#180,Dalan Nancy Soap 5 Pack (60 Pc) - Water Lily,1.00,37.2
#181,Dalan Nancy Soap 5 Pack (60 Pc) - Lilac,1.00,37.2
#182,Dalan Nancy Soap 5 Pack (60 Pc) - Lily of the Vally,1.00,37.2
#183,Citron Bar Soap 900g - Antibacterial - Box of 16 pieces,1.00,104
#184,Citron Bar Soap 900g - Classic - Box of 16 pieces,1.00,104
#185,Citron Bar Soap 900g - Antibacterial - Pack of 4,1.00,26
#186,Citron Bar Soap 900g - Classic - Pack of 4,1.00,26
